Council District,Total Tax Class 1 Properities
1,257
2,364
3,1175
4,1125
5,343
6,564
7,508
8,1576
9,1438
10,351
11,6763
12,16257
13,22233
14,2207
15,4240
16,1980
17,5253
18,9885
19,35106
20,13920
21,10347
22,13564
23,28138
24,17794
25,9137
26,7756
27,32255
28,27745
29,12697
30,27845
31,25925
32,27271
33,6633
34,6786
35,7328
36,11081
37,13159
38,10769
39,14184
40,6564
41,9864
42,12079
43,21098
44,15257
45,19126
46,32563
47,16311
48,16238
49,31119
50,44657
51,47742
